"entity_id","region_id","city","city_code"
,627,"Corrales","15215"
,627,"Covarachía","15218"
,627,"Cubará","15223"
,627,"Cucaita","15224"
,627,"Cuítiva","15226"
,627,"Chíquiza","15232"
,627,"Chivor","15236"
,627,"Duitama","15238"
,627,"El Cocuy","15244"
,627,"El Espino","15248"
,627,"Firavitoba","15272"
,627,"Floresta","15276"
,627,"Gachantivá","15293"
,627,"Gámeza","15296"
,627,"Garagoa","15299"
,627,"Guacamayas","15317"
,627,"Guateque","15322"
,627,"Guayatá","15325"
,627,"Güicán De La Sierra","15332"
,627,"Iza","15362"
,627,"Jenesano","15367"
,627,"Jericó","15368"
,627,"Labranzagrande","15377"
,627,"La Capilla","15380"
,627,"La Victoria","15401"
,627,"La Uvita","15403"
,627,"Villa De Leyva","15407"
,627,"Macanal","15425"
,627,"Maripí","15442"
,627,"Miraflores","15455"
,627,"Mongua","15464"
,627,"Monguí","15466"
,627,"Moniquirá","15469"
,627,"Motavita","15476"
,627,"Muzo","15480"
,627,"Nobsa","15491"
,627,"Nuevo Colón","15494"
,627,"Oicatá","15500"
,627,"Otanche","15507"
,627,"Pachavita","15511"
,627,"Páez","15514"
,627,"Paipa","15516"
,627,"Pajarito","15518"
,627,"Panqueba","15522"
,627,"Pauna","15531"
,627,"Paya","15533"
,627,"Paz De Río","15537"
,627,"Pesca","15542"
,627,"Pisba","15550"
,627,"Puerto Boyacá","15572"
,627,"Quípama","15580"
,627,"Ramiriquí","15599"
,627,"Ráquira","15600"
,627,"Rondón","15621"
,627,"Saboyá","15632"
,627,"Sáchica","15638"
,627,"Samacá","15646"
,627,"San Eduardo","15660"
,627,"San José De Pare","15664"
,627,"San Luis De Gaceno","15667"
,627,"San Mateo","15673"
,627,"San Miguel De Sema","15676"
,627,"San Pablo De Borbur","15681"
,627,"Santana","15686"
,627,"Santa María","15690"
,627,"Santa Rosa De Viterbo","15693"
,627,"Santa Sofía","15696"
,627,"Sativanorte","15720"
,627,"Sativasur","15723"
,627,"Siachoque","15740"
,627,"Soatá","15753"
,627,"Socotá","15755"
,627,"Socha","15757"
,627,"Sogamoso","15759"
,627,"Somondoco","15761"
,627,"Sora","15762"
,627,"Sotaquirá","15763"
,627,"Soracá","15764"
,627,"Susacón","15774"
,627,"Sutamarchán","15776"
,627,"Sutatenza","15778"
,627,"Tasco","15790"
,627,"Tenza","15798"
,627,"Tibaná","15804"
,627,"Tibasosa","15806"
,627,"Tinjacá","15808"
,627,"Tipacoque","15810"
,627,"Toca","15814"
,627,"Togüí","15816"
,627,"Tópaga","15820"
,627,"Tota","15822"
,627,"Tununguá","15832"
,627,"Turmequé","15835"
,627,"Tuta","15837"
,627,"Tutazá","15839"
,627,"Úmbita","15842"
,627,"Ventaquemada","15861"
,627,"Viracachá","15879"
,627,"Zetaquira","15897"
,628,"Manizales","17001"
,628,"Aguadas","17013"
,628,"Anserma","17042"
,628,"Aranzazu","17050"
,628,"Belalcázar","17088"
,628,"Chinchiná","17174"
,628,"Filadelfia","17272"
,628,"La Dorada","17380"
,628,"La Merced","17388"
,628,"Manzanares","17433"
,628,"Marmato","17442"
,628,"Marquetalia","17444"
,628,"Marulanda","17446"
,628,"Neira","17486"
,628,"Norcasia","17495"
,628,"Pácora","17513"
,628,"Palestina","17524"
,628,"Pensilvania","17541"
,628,"Riosucio","17614"
,628,"Risaralda","17616"
,628,"Salamina","17653"
,628,"Samaná","17662"
,628,"San José","17665"
,628,"Supía","17777"
,628,"Victoria","17867"
,628,"Villamaría","17873"
,628,"Viterbo","17877"
,629,"Florencia","18001"
,629,"Albania","18029"
,629,"Belén De Los Andaquíes","18094"
,629,"Cartagena Del Chairá","18150"
,629,"Curillo","18205"
,629,"El Doncello","18247"
,629,"El Paujíl","18256"
,629,"La Montañita","18410"
,629,"Milán","18460"
,629,"Morelia","18479"
,629,"Puerto Rico","18592"
,629,"San José Del Fragua","18610"
,629,"San Vicente Del Caguán","18753"
,629,"Solano","18756"
,629,"Solita","18785"
,629,"Valparaíso","18860"
,631,"Popayán","19001"
,631,"Almaguer","19022"
,631,"Argelia","19050"
,631,"Balboa","19075"
,631,"Bolívar","19100"
,631,"Buenos Aires","19110"
,631,"Cajibío","19130"
,631,"Caldono","19137"
,631,"Caloto","19142"
,631,"Corinto","19212"
,631,"El Tambo","19256"
,631,"Florencia","19290"
,631,"Guachené","19300"
,631,"Guapi","19318"
,631,"Inzá","19355"
,631,"Jambaló","19364"
,631,"La Sierra","19392"
,631,"La Vega","19397"
,631,"López De Micay","19418"
,631,"Mercaderes","19450"
,631,"Miranda","19455"
,631,"Morales","19473"
,631,"Padilla","19513"
,631,"Páez","19517"
,631,"Patía","19532"
,631,"Piamonte","19533"
,631,"Piendamó - Tunía","19548"
,631,"Puerto Tejada","19573"
,631,"Puracé","19585"
,631,"Rosas","19622"
,631,"San Sebastián","19693"
,631,"Santander De Quilichao","19698"
,631,"Santa Rosa","19701"
,631,"Silvia","19743"
,631,"Sotará Paispamba","19760"
,631,"Suárez","19780"
,631,"Sucre","19785"
,631,"Timbío","19807"
,631,"Timbiquí","19809"
,631,"Toribío","19821"
,631,"Totoró","19824"
,631,"Villa Rica","19845"
,632,"Valledupar","20001"
,632,"Aguachica","20011"
,632,"Agustín Codazzi","20013"
,632,"Astrea","20032"
,632,"Becerril","20045"
,632,"Bosconia","20060"
,632,"Chimichagua","20175"
,632,"Chiriguaná","20178"
,632,"Curumaní","20228"
,632,"El Copey","20238"
,632,"El Paso","20250"
,632,"Gamarra","20295"
,632,"González","20310"
,632,"La Gloria","20383"
,632,"La Jagua De Ibirico","20400"
,632,"Manaure Balcón Del Cesar","20443"
,632,"Pailitas","20517"
,632,"Pelaya","20550"
,632,"Pueblo Bello","20570"
,632,"Río De Oro","20614"
,632,"La Paz","20621"
,632,"San Alberto","20710"
,632,"San Diego","20750"
,632,"San Martín","20770"
,632,"Tamalameque","20787"
,634,"Montería","23001"
,634,"Ayapel","23068"
,634,"Buenavista","23079"
,634,"Canalete","23090"
,634,"Cereté","23162"
,634,"Chimá","23168"
,634,"Chinú","23182"
,634,"Ciénaga De Oro","23189"
,634,"Cotorra","23300"
,634,"La Apartada","23350"
,634,"Lorica","23417"
,634,"Los Córdobas","23419"
,634,"Momil","23464"
,634,"Montelíbano","23466"
,634,"Moñitos","23500"
,634,"Planeta Rica","23555"
,634,"Pueblo Nuevo","23570"
,634,"Puerto Escondido","23574"
,634,"Puerto Libertador","23580"
,634,"Purísima De La Concepción","23586"
,634,"Sahagún","23660"
,634,"San Andrés De Sotavento","23670"
,634,"San Antero","23672"
,634,"San Bernardo Del Viento","23675"
,634,"San Carlos","23678"
,634,"San José De Uré","23682"
,634,"San Pelayo","23686"
,634,"Tierralta","23807"
,634,"Tuchín","23815"
,634,"Valencia","23855"
,635,"Agua De Dios","25001"
,635,"Albán","25019"
,635,"Anapoima","25035"
,635,"Anolaima","25040"
,635,"Arbeláez","25053"
,635,"Beltrán","25086"
,635,"Bituima","25095"
,635,"Bojacá","25099"
,635,"Cabrera","25120"
,635,"Cachipay","25123"
,635,"Cajicá","25126"
,635,"Caparrapí","25148"
,635,"Cáqueza","25151"
,635,"Carmen De Carupa","25154"
,635,"Chaguaní","25168"
,635,"Chía","25175"
,635,"Chipaque","25178"
,635,"Choachí","25181"
,635,"Chocontá","25183"
,635,"Cogua","25200"
,635,"Cota","25214"
,635,"Cucunubá","25224"
,635,"El Colegio","25245"
,635,"El Peñón","25258"
,635,"El Rosal","25260"
,635,"Facatativá","25269"
,635,"Fómeque","25279"
,635,"Fosca","25281"
,635,"Funza","25286"
,635,"Fúquene","25288"
,635,"Fusagasugá","25290"
,635,"Gachalá","25293"
,635,"Gachancipá","25295"
,635,"Gachetá","25297"
,635,"Gama","25299"
,635,"Girardot","25307"
,635,"Granada","25312"
,635,"Guachetá","25317"
,635,"Guaduas","25320"
,635,"Guasca","25322"
,635,"Guataquí","25324"
,635,"Guatavita","25326"
,635,"Guayabal De Síquima","25328"
,635,"Guayabetal","25335"
,635,"Gutiérrez","25339"
,635,"Jerusalén","25368"
,635,"Junín","25372"
,635,"La Calera","25377"
,635,"La Mesa","25386"
,635,"La Palma","25394"
,635,"La Peña","25398"
,635,"La Vega","25402"
,635,"Lenguazaque","25407"
,635,"Machetá","25426"
,635,"Madrid","25430"
,635,"Manta","25436"
,635,"Medina","25438"
,635,"Mosquera","25473"
,635,"Nariño","25483"
,635,"Nemocón","25486"
,635,"Nilo","25488"
,635,"Nimaima","25489"
,635,"Nocaima","25491"
,635,"Venecia","25506"
,635,"Pacho","25513"
,635,"Paime","25518"
,635,"Pandi","25524"
,635,"Paratebueno","25530"
,635,"Pasca","25535"
,635,"Puerto Salgar","25572"
,635,"Pulí","25580"
,635,"Quebradanegra","25592"
,635,"Quetame","25594"
,635,"Quipile","25596"
,635,"Apulo","25599"
,635,"Ricaurte","25612"
,635,"San Antonio Del Tequendama","25645"
,635,"San Bernardo","25649"
,635,"San Cayetano","25653"
,635,"San Francisco","25658"
,635,"San Juan De Rioseco","25662"
,635,"Sasaima","25718"
,635,"Sesquilé","25736"
,635,"Sibaté","25740"
,635,"Silvania","25743"
,635,"Simijaca","25745"
,635,"Soacha","25754"
,635,"Sopó","25758"
,635,"Subachoque","25769"
,635,"Suesca","25772"
,635,"Supatá","25777"
,635,"Susa","25779"
,635,"Sutatausa","25781"
,635,"Tabio","25785"
,635,"Tausa","25793"
,635,"Tena","25797"
,635,"Tenjo","25799"
,635,"Tibacuy","25805"
,635,"Tibirita","25807"
,635,"Tocaima","25815"
,635,"Tocancipá","25817"
,635,"Topaipí","25823"
,635,"Ubalá","25839"
,635,"Ubaque","25841"
,635,"Villa De San Diego De Ubaté","25843"
,635,"Une","25845"
,635,"Útica","25851"
,635,"Vergara","25862"
,635,"Vianí","25867"
,635,"Villagómez","25871"
,635,"Villapinzón","25873"
,635,"Villeta","25875"
,635,"Viotá","25878"
,635,"Yacopí","25885"
,635,"Zipacón","25898"
,635,"Zipaquirá","25899"
,633,"Quibdó","27001"
,633,"Acandí","27006"
,633,"Alto Baudó","27025"
,633,"Atrato","27050"
,633,"Bagadó","27073"
,633,"Bahía Solano","27075"
,633,"Bajo Baudó","27077"
,633,"Bojayá","27099"
,633,"El Cantón Del San Pablo","27135"
,633,"Carmen Del Darién","27150"
,633,"Cértegui","27160"
,633,"Condoto","27205"
,633,"El Carmen De Atrato","27245"
,633,"El Litoral Del San Juan","27250"
,633,"Istmina","27361"
,633,"Juradó","27372"
,633,"Lloró","27413"
,633,"Medio Atrato","27425"
,633,"Medio Baudó","27430"
,633,"Medio San Juan","27450"
,633,"Nóvita","27491"
,633,"Nuquí","27495"
,633,"Río Iró","27580"
,633,"Río Quito","27600"
,633,"Riosucio","27615"
,633,"San José Del Palmar","27660"
,633,"Sipí","27745"
,633,"Tadó","27787"
,633,"Unguía","27800"
,633,"Unión Panamericana","27810"
,638,"Neiva","41001"
,638,"Acevedo","41006"
,638,"Agrado","41013"
,638,"Aipe","41016"
,638,"Algeciras","41020"
,638,"Altamira","41026"
,638,"Baraya","41078"
,638,"Campoalegre","41132"
,638,"Colombia","41206"
,638,"Elías","41244"
,638,"Garzón","41298"
,638,"Gigante","41306"
,638,"Guadalupe","41319"
,638,"Hobo","41349"
,638,"Íquira","41357"
,638,"Isnos","41359"
,638,"La Argentina","41378"
,638,"La Plata","41396"
,638,"Nátaga","41483"
,638,"Oporapa","41503"
,638,"Paicol","41518"
,638,"Palermo","41524"
,638,"Palestina","41530"
,638,"Pital","41548"
,638,"Pitalito","41551"
,638,"Rivera","41615"
,638,"Saladoblanco","41660"
,638,"San Agustín","41668"
,638,"Santa María","41676"
,638,"Suaza","41770"
,638,"Tarqui","41791"
,638,"Tesalia","41797"
,638,"Tello","41799"
,638,"Teruel","41801"
,638,"Timaná","41807"
,638,"Villavieja","41872"
,638,"Yaguará","41885"
,639,"Riohacha","44001"
,639,"Albania","44035"
,639,"Barrancas","44078"
,639,"Dibulla","44090"
,639,"Distracción","44098"
,639,"El Molino","44110"
,639,"Fonseca","44279"
,639,"Hatonuevo","44378"
,639,"La Jagua Del Pilar","44420"
,639,"Maicao","44430"
,639,"Manaure","44560"
,639,"San Juan Del Cesar","44650"
,639,"Uribia","44847"
,639,"Urumita","44855"
,639,"Villanueva","44874"
,640,"Santa Marta","47001"
,640,"Algarrobo","47030"
,640,"Aracataca","47053"
,640,"Ariguaní","47058"
,640,"Cerro De San Antonio","47161"
,640,"Chivolo","47170"
,640,"Ciénaga","47189"
,640,"Concordia","47205"
,640,"El Banco","47245"
,640,"El Piñón","47258"
,640,"El Retén","47268"
,640,"Fundación","47288"
,640,"Guamal","47318"
,640,"Nueva Granada","47460"
,640,"Pedraza","47541"
,640,"Pijiño Del Carmen","47545"
,640,"Pivijay","47551"
,640,"Plato","47555"
,640,"Puebloviejo","47570"
,640,"Remolino","47605"
,640,"Sabanas De San Ángel","47660"
,640,"Salamina","47675"
,640,"San Sebastián De Buenavista","47692"
,640,"San Zenón","47703"
,640,"Santa Ana","47707"
,640,"Santa Bárbara De Pinto","47720"
,640,"Sitionuevo","47745"
,640,"Tenerife","47798"
,640,"Zapayán","47960"
,640,"Zona Bananera","47980"
,641,"Villavicencio","50001"
,641,"Acacías","50006"
,641,"Barranca De Upía","50110"
,641,"Cabuyaro","50124"
,641,"Castilla La Nueva","50150"
,641,"Cubarral","50223"
,641,"Cumaral","50226"
,641,"El Calvario","50245"
,641,"El Castillo","50251"
,641,"El Dorado","50270"
,641,"Fuente De Oro","50287"
,641,"Granada","50313"
,641,"Guamal","50318"
,641,"Mapiripán","50325"
,641,"Mesetas","50330"
,641,"La Macarena","50350"
,641,"Uribe","50370"
,641,"Lejanías","50400"
,641,"Puerto Concordia","50450"
,641,"Puerto Gaitán","50568"
,641,"Puerto López","50573"
,641,"Puerto Lleras","50577"
,641,"Puerto Rico","50590"
,641,"Restrepo","50606"
,641,"San Carlos De Guaroa","50680"
,641,"San Juan De Arama","50683"
,641,"San Juanito","50686"
,641,"San Martín","50689"
,641,"Vistahermosa","50711"
,642,"Pasto","52001"
,642,"Albán","52019"
,642,"Aldana","52022"
,642,"Ancuya","52036"
,642,"Arboleda","52051"
,642,"Barbacoas","52079"
,642,"Belén","52083"
,642,"Buesaco","52110"
,642,"Colón","52203"
,642,"Consacá","52207"
,642,"Contadero","52210"
,642,"Córdoba","52215"
,642,"Cuaspud Carlosama","52224"
,642,"Cumbal","52227"
,642,"Cumbitara","52233"
,642,"Chachagüí","52240"
,642,"El Charco","52250"
,642,"El Peñol","52254"
,642,"El Rosario","52256"
,642,"El Tablón De Gómez","52258"
,642,"El Tambo","52260"
,642,"Funes","52287"
,642,"Guachucal","52317"
,642,"Guaitarilla","52320"
,642,"Gualmatán","52323"
,642,"Iles","52352"
,642,"Imués","52354"
,642,"Ipiales","52356"
,642,"La Cruz","52378"
,642,"La Florida","52381"
,642,"La Llanada","52385"
,642,"La Tola","52390"
,642,"La Unión","52399"
,642,"Leiva","52405"
,642,"Linares","52411"
,642,"Los Andes","52418"
,642,"Magüí","52427"
,642,"Mallama","52435"
,642,"Mosquera","52473"
,642,"Nariño","52480"
,642,"Olaya Herrera","52490"
,642,"Ospina","52506"
,642,"Francisco Pizarro","52520"
,642,"Policarpa","52540"
,642,"Potosí","52560"
,642,"Providencia","52565"
,642,"Puerres","52573"
,642,"Pupiales","52585"
,642,"Ricaurte","52612"
,642,"Roberto Payán","52621"
,642,"Samaniego","52678"
,642,"Sandoná","52683"
,642,"San Bernardo","52685"
,642,"San Lorenzo","52687"
,642,"San Pablo","52693"
,642,"San Pedro De Cartago","52694"
,642,"Santa Bárbara","52696"
,642,"Santacruz","52699"
,642,"Sapuyes","52720"
,642,"Taminango","52786"
,642,"Tangua","52788"
,642,"San Andrés De Tumaco","52835"
,642,"Túquerres","52838"
,642,"Yacuanquer","52885"
,643,"San José De Cúcuta","54001"
,643,"Ábrego","54003"
,643,"Arboledas","54051"
,643,"Bochalema","54099"
,643,"Bucarasica","54109"
,643,"Cácota","54125"
,643,"Cáchira","54128"
,643,"Chinácota","54172"
,643,"Chitagá","54174"
,643,"Convención","54206"
,643,"Cucutilla","54223"
,643,"Durania","54239"
,643,"El Carmen","54245"
,643,"El Tarra","54250"
,643,"El Zulia","54261"
,643,"Gramalote","54313"
,643,"Hacarí","54344"
,643,"Herrán","54347"
,643,"Labateca","54377"
,643,"La Esperanza","54385"
,643,"La Playa","54398"
,643,"Los Patios","54405"
,643,"Lourdes","54418"
,643,"Mutiscua","54480"
,643,"Ocaña","54498"
,643,"Pamplona","54518"
,643,"Pamplonita","54520"
,643,"Puerto Santander","54553"
,643,"Ragonvalia","54599"
,643,"Salazar","54660"
,643,"San Calixto","54670"
,643,"San Cayetano","54673"
,643,"Santiago","54680"
,643,"Sardinata","54720"
,643,"Silos","54743"
,643,"Teorama","54800"
,643,"Tibú","54810"
,643,"Toledo","54820"
,643,"Villa Caro","54871"
,643,"Villa Del Rosario","54874"
,645,"Armenia","63001"
,645,"Buenavista","63111"
,645,"Calarcá","63130"
,645,"Circasia","63190"
,645,"Córdoba","63212"
,645,"Filandia","63272"
,645,"Génova","63302"
,645,"La Tebaida","63401"
,645,"Montenegro","63470"
,645,"Pijao","63548"
,645,"Quimbaya","63594"
,645,"Salento","63690"
,646,"Pereira","66001"
,646,"Apía","66045"
,646,"Balboa","66075"
,646,"Belén De Umbría","66088"
,646,"Dosquebradas","66170"
,646,"Guática","66318"
,646,"La Celia","66383"
,646,"La Virginia","66400"
,646,"Marsella","66440"
,646,"Mistrató","66456"
,646,"Pueblo Rico","66572"
,646,"Quinchía","66594"
,646,"Santa Rosa De Cabal","66682"
,646,"Santuario","66687"
,648,"Bucaramanga","68001"
,648,"Aguada","68013"
,648,"Albania","68020"
,648,"Aratoca","68051"
,648,"Barbosa","68077"
,648,"Barichara","68079"
,648,"Barrancabermeja","68081"
,648,"Betulia","68092"
,648,"Bolívar","68101"
,648,"Cabrera","68121"
,648,"California","68132"
,648,"Capitanejo","68147"
,648,"Carcasí","68152"
,648,"Cepitá","68160"
,648,"Cerrito","68162"
,648,"Charalá","68167"
,648,"Charta","68169"
,648,"Chima","68176"
,648,"Chipatá","68179"
,648,"Cimitarra","68190"
,648,"Concepción","68207"
,648,"Confines","68209"
,648,"Contratación","68211"
,648,"Coromoro","68217"
,648,"Curití","68229"
,648,"El Carmen De Chucurí","68235"
,648,"El Guacamayo","68245"
,648,"El Peñón","68250"
,648,"El Playón","68255"
,648,"Encino","68264"
,648,"Enciso","68266"
,648,"Florián","68271"
,648,"Floridablanca","68276"
,648,"Galán","68296"
,648,"Gámbita","68298"
,648,"Girón","68307"
,648,"Guaca","68318"
,648,"Guadalupe","68320"
,648,"Guapotá","68322"
,648,"Guavatá","68324"
,648,"Güepsa","68327"
,648,"Hato","68344"
,648,"Jesús María","68368"
,648,"Jordán","68370"
,648,"La Belleza","68377"
,648,"Landázuri","68385"
,648,"La Paz","68397"
,648,"Lebrija","68406"
,648,"Los Santos","68418"
,648,"Macaravita","68425"
,648,"Málaga","68432"
,648,"Matanza","68444"
,648,"Mogotes","68464"
